"번호","메뉴","끼니","간편 링크에 붙여 넣을 쿠팡 주소","파트너스 링크"
"38","마파두부밥","점심","https://www.coupang.com/np/search?q=%EB%A7%88%ED%8C%8C%EB%91%90%EB%B6%80%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"39","잡채밥","점심","https://www.coupang.com/np/search?q=%EC%9E%A1%EC%B1%84%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"40","마라탕","점심","https://www.coupang.com/np/search?q=%EB%A7%88%EB%9D%BC%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"41","초밥","점심","https://www.coupang.com/np/search?q=%EC%B4%88%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"42","돈카츠","점심","https://www.coupang.com/np/search?q=%EB%8F%88%EC%B9%B4%EC%B8%A0%20%EC%9E%AC%EB%A3%8C",""
"43","라멘","점심","https://www.coupang.com/np/search?q=%EB%9D%BC%EB%A9%98%20%EC%9E%AC%EB%A3%8C",""
"44","우동","점심","https://www.coupang.com/np/search?q=%EC%9A%B0%EB%8F%99%20%EC%9E%AC%EB%A3%8C",""
"45","규동","점심","https://www.coupang.com/np/search?q=%EA%B7%9C%EB%8F%99%20%EC%9E%AC%EB%A3%8C",""
"46","회덮밥","점심","https://www.coupang.com/np/search?q=%ED%9A%8C%EB%8D%AE%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"47","소바","점심","https://www.coupang.com/np/search?q=%EC%86%8C%EB%B0%94%20%EC%9E%AC%EB%A3%8C",""
"48","파스타","점심","https://www.coupang.com/np/search?q=%ED%8C%8C%EC%8A%A4%ED%83%80%20%EC%9E%AC%EB%A3%8C",""
"49","햄버거","점심","https://www.coupang.com/np/search?q=%ED%96%84%EB%B2%84%EA%B1%B0%20%EC%9E%AC%EB%A3%8C",""
"50","리조또","점심","https://www.coupang.com/np/search?q=%EB%A6%AC%EC%A1%B0%EB%98%90%20%EC%9E%AC%EB%A3%8C",""
"51","샌드위치","점심","https://www.coupang.com/np/search?q=%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98%20%EC%9E%AC%EB%A3%8C",""
"52","피자","점심","https://www.coupang.com/np/search?q=%ED%94%BC%EC%9E%90%20%EC%9E%AC%EB%A3%8C",""
"53","샐러드","점심","https://www.coupang.com/np/search?q=%EC%83%90%EB%9F%AC%EB%93%9C%20%EC%9E%AC%EB%A3%8C",""
"54","떡볶이","점심","https://www.coupang.com/np/search?q=%EB%96%A1%EB%B3%B6%EC%9D%B4%20%EC%9E%AC%EB%A3%8C",""
"55","김밥","점심","https://www.coupang.com/np/search?q=%EA%B9%80%EB%B0%A5%20%EC%9E%AC%EB%A3%8C",""
"56","라볶이","점심","https://www.coupang.com/np/search?q=%EB%9D%BC%EB%B3%B6%EC%9D%B4%20%EC%9E%AC%EB%A3%8C",""
"57","쫄면","점심","https://www.coupang.com/np/search?q=%EC%AB%84%EB%A9%B4%20%EC%9E%AC%EB%A3%8C",""
"58","만두","점심","https://www.coupang.com/np/search?q=%EB%A7%8C%EB%91%90%20%EC%9E%AC%EB%A3%8C",""
"59","칼국수","점심","https://www.coupang.com/np/search?q=%EC%B9%BC%EA%B5%AD%EC%88%98%20%EC%9E%AC%EB%A3%8C",""
"60","잔치국수","점심","https://www.coupang.com/np/search?q=%EC%9E%94%EC%B9%98%EA%B5%AD%EC%88%98%20%EC%9E%AC%EB%A3%8C",""
"61","쌀국수","점심","https://www.coupang.com/np/search?q=%EC%8C%80%EA%B5%AD%EC%88%98%20%EC%9E%AC%EB%A3%8C",""
"62","팟타이","점심","https://www.coupang.com/np/search?q=%ED%8C%9F%ED%83%80%EC%9D%B4%20%EC%9E%AC%EB%A3%8C",""
"63","카레","점심","https://www.coupang.com/np/search?q=%EC%B9%B4%EB%A0%88%20%EC%9E%AC%EB%A3%8C",""
"64","분짜","점심","https://www.coupang.com/np/search?q=%EB%B6%84%EC%A7%9C%20%EC%9E%AC%EB%A3%8C",""
"65","나시고렝","점심","https://www.coupang.com/np/search?q=%EB%82%98%EC%8B%9C%EA%B3%A0%EB%A0%9D%20%EC%9E%AC%EB%A3%8C",""
"66","삼겹살","저녁","https://www.coupang.com/np/search?q=%EC%82%BC%EA%B2%B9%EC%82%B4%20%EC%9E%AC%EB%A3%8C",""
"67","갈비","저녁","https://www.coupang.com/np/search?q=%EA%B0%88%EB%B9%84%20%EC%9E%AC%EB%A3%8C",""
"68","곱창","저녁","https://www.coupang.com/np/search?q=%EA%B3%B1%EC%B0%BD%20%EC%9E%AC%EB%A3%8C",""
"69","양꼬치","저녁","https://www.coupang.com/np/search?q=%EC%96%91%EA%BC%AC%EC%B9%98%20%EC%9E%AC%EB%A3%8C",""
"70","차돌박이","저녁","https://www.coupang.com/np/search?q=%EC%B0%A8%EB%8F%8C%EB%B0%95%EC%9D%B4%20%EC%9E%AC%EB%A3%8C",""
"71","치킨","저녁","https://www.coupang.com/np/search?q=%EC%B9%98%ED%82%A8%20%EC%9E%AC%EB%A3%8C",""
"72","보쌈","저녁","https://www.coupang.com/np/search?q=%EB%B3%B4%EC%8C%88%20%EC%9E%AC%EB%A3%8C",""
"73","족발","저녁","https://www.coupang.com/np/search?q=%EC%A1%B1%EB%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"74","감자탕","저녁","https://www.coupang.com/np/search?q=%EA%B0%90%EC%9E%90%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"75","닭볶음탕","저녁","https://www.coupang.com/np/search?q=%EB%8B%AD%EB%B3%B6%EC%9D%8C%ED%83%95%20%EC%9E%AC%EB%A3%8C",""
"76","찜닭","저녁","https://www.coupang.com/np/search?q=%EC%B0%9C%EB%8B%AD%20%EC%9E%AC%EB%A3%8C",""
"77","파전","저녁","https://www.coupang.com/np/search?q=%ED%8C%8C%EC%A0%84%20%EC%9E%AC%EB%A3%8C",""
"78","아귀찜","저녁","https://www.coupang.com/np/search?q=%EC%95%84%EA%B7%80%EC%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"79","김치찜","저녁","https://www.coupang.com/np/search?q=%EA%B9%80%EC%B9%98%EC%B0%9C%20%EC%9E%AC%EB%A3%8C",""
"80","마라샹궈","저녁","https://www.coupang.com/np/search?q=%EB%A7%88%EB%9D%BC%EC%83%B9%EA%B6%88%20%EC%9E%AC%EB%A3%8C",""
